calendar year,6-monthly,cause of injury = traffic,age group,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2015,Jan-Jun,Traffic,0-7,96,161,Qld
2015,Jan-Jun,Traffic,17-25,866,2340,Qld
2015,Jan-Jun,Traffic,26-39,931,2701,Qld
2015,Jan-Jun,Traffic,40-64,1393,5047,Qld
2015,Jan-Jun,Traffic,65-74,274,1262,Qld
2015,Jan-Jun,Traffic,75+,207,1315,Qld
2015,Jan-Jun,Traffic,8-16,315,683,Qld
2015,Jan-Jun,Traffic,0-7,48,306,WA
2015,Jan-Jun,Traffic,17-25,312,1571,WA
2015,Jan-Jun,Traffic,26-39,386,1789,WA
2015,Jan-Jun,Traffic,40-64,523,2982,WA
2015,Jan-Jun,Traffic,65-74,82,547,WA
2015,Jan-Jun,Traffic,75+,89,848,WA
2015,Jan-Jun,Traffic,8-16,147,401,WA
